SetNumber	PartID	Quantity	Colour	Category	DesignID	PartName	ImageURL	SetCount
45544-1	4634091	2	Medium Stone Grey	Constraction: Tyres And Rims For/To Snap Ø4,85 W. Cross	56908	Rim Wide 43,2X26 W 6 Hol.Ø 4.8	http://cache.lego.com/media/bricks/5/1/4634091.jpg	18
45544-1	6008472	2	Medium Stone Grey	Mindstorms: Electric Parts	95648	Ms, Ev3, Touch Sensor	http://cache.lego.com/media/bricks/5/1/6008472.jpg	3
45544-1	6008577	1	Medium Stone Grey	Mindstorms: Electric Parts	99455	Ms-Ev3, Medium Motor	http://cache.lego.com/media/bricks/5/1/6008577.jpg	3
45544-1	6009430	2	Medium Stone Grey	Mindstorms: Electric Parts	95658	Ms-Ev3, Large Motor	http://cache.lego.com/media/bricks/5/1/6009430.jpg	??
45544-1	6008916	1	Medium Stone Grey	Mindstorms: Electric Parts	99380	Ms, Ev3, Gyro Sensor	http://cache.lego.com/media/bricks/5/1/6008916.jpg	2
45544-1	6008919	1	Medium Stone Grey	Mindstorms: Electric Parts	95650	Ms, Ev3, Sensor, Colour	http://cache.lego.com/media/bricks/5/1/6008919.jpg	3
45544-1	6063629	1	Medium Stone Grey	Mindstorms: Electric Parts	95652	Ms-Ev3, Ultrasonic Sensor	http://cache.lego.com/media/bricks/5/1/6063629.jpg	1
45544-1	6012820	1	Medium Stone Grey	Mindstorms: Electric Parts	95656	Rechargeable Battery	http://cache.lego.com/media/bricks/5/1/6012820.jpg	??
45544-1	4156151	4	Medium Stone Grey	Technic: Beams	32525	Technic 11M Beam	http://cache.lego.com/media/bricks/5/1/4156151.jpg	44
45544-1	4211624	4	Medium Stone Grey	Technic: Beams	32271	Technic Angular Beam 3X7	http://cache.lego.com/media/bricks/5/1/4211624.jpg	28
45544-1	4211651	4	Medium Stone Grey	Technic: Beams	32316	Technic 5M Beam	http://cache.lego.com/media/bricks/5/1/4211651.jpg	79
45544-1	4211713	2	Medium Stone Grey	Technic: Beams	32526	Technic Ang. Beam 3X5 90 Deg.	http://cache.lego.com/media/bricks/5/1/4211713.jpg	58
45544-1	4211866	6	Medium Stone Grey	Technic: Beams	40490	Technic 9M Beam	http://cache.lego.com/media/bricks/5/1/4211866.jpg	51
45544-1	4495930	4	Medium Stone Grey	Technic: Beams	32524	Technic 7M Beam	http://cache.lego.com/media/bricks/5/1/4495930.jpg	75
45544-1	4522934	6	Medium Stone Grey	Technic: Beams	41239	Technic 13M Beam	http://cache.lego.com/media/bricks/5/1/4522934.jpg	30
45544-1	4611705	4	Medium Stone Grey	Technic: Beams	64290	Technic 11M Beam	http://cache.lego.com/media/bricks/5/1/4611705.jpg	33
45544-1	6102449	6	Medium Stone Grey	Technic: Beams	64289	Technic 9M Beam	http://cache.lego.com/media/bricks/5/1/6102449.jpg	24
45544-1	4211775	8	Medium Stone Grey	Technic: Beams, Special	6536	Cross Block 90°	http://cache.lego.com/media/bricks/5/1/4211775.jpg	119
45544-1	4225033	6	Medium Stone Grey	Technic: Beams, Special	48989	Beam 3 M. W/4 Snaps	http://cache.lego.com/media/bricks/5/1/4225033.jpg	157
45544-1	4296059	4	Medium Stone Grey	Technic: Beams, Special	55615	Angular Beam 90Degr. W.4 Snaps	http://cache.lego.com/media/bricks/5/1/4296059.jpg	45
45544-1	4538007	6	Medium Stone Grey	Technic: Beams, Special	63869	Cross Block 3X2	http://cache.lego.com/media/bricks/5/1/4538007.jpg	56
45544-1	4539880	3	Medium Stone Grey	Technic: Beams, Special	64179	Beam Frame 5X7 Ø 4.85	http://cache.lego.com/media/bricks/5/1/4539880.jpg	38
45544-1	4540797	1	Medium Stone Grey	Technic: Beams, Special	64178	Beam R. Frame 5X11 Ø4.85	http://cache.lego.com/media/bricks/5/1/4540797.jpg	29
45544-1	4560175	4	Medium Stone Grey	Technic: Beams, Special	87082	Double Bush 3M Ø4.9	http://cache.lego.com/media/bricks/5/1/4560175.jpg	69
45544-1	4211622	10	Medium Stone Grey	Technic: Connectors	6590	Bush For Cross Axle	http://cache.lego.com/media/bricks/5/1/4211622.jpg	470
45544-1	4211639	6	Medium Stone Grey	Technic: Connectors	32073	Cross Axle 5M	http://cache.lego.com/media/bricks/5/1/4211639.jpg	445
45544-1	4211805	5	Medium Stone Grey	Technic: Connectors	44294	Cross Axle 7M	http://cache.lego.com/media/bricks/5/1/4211805.jpg	294
45544-1	4211807	10	Medium Stone Grey	Technic: Connectors	3673	Connector Peg	http://cache.lego.com/media/bricks/5/1/4211807.jpg	557
