SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"45560-1",4210857,4,"Dark Stone Grey","Technic: Beams, Special",42003,"Cross Blok 3M","http://cache.lego.com/media/bricks/5/1/4210857.jpg",78
"45560-1",4610380,1,"Dark Stone Grey","Technic: Beams, Special",92911,"Power Joint","http://cache.lego.com/media/bricks/5/1/4610380.jpg",7
"45560-1",4210665,2,"Dark Stone Grey","Technic: Connectors",6553,"Catch","http://cache.lego.com/media/bricks/5/1/4210665.jpg",60
"45560-1",4499858,6,"Dark Stone Grey","Technic: Connectors",55013,"Cross Axle 8M With End Stop","http://cache.lego.com/media/bricks/5/1/4499858.jpg",187
"45560-1",4508553,4,"Dark Stone Grey","Technic: Connectors",59426,"Cross Axle 5,5  With Stop 1M.","http://cache.lego.com/media/bricks/5/1/4508553.jpg",312
"45560-1",6005331,2,"Dark Stone Grey","Technic: Connectors",10197,"Beam 1M W. 2 Cross Axles 90°","http://cache.lego.com/media/bricks/5/1/6005331.jpg",47
"45560-1",6083620,8,"Dark Stone Grey","Technic: Connectors",87083,"Cross Axle 4M With End Stop","http://cache.lego.com/media/bricks/5/1/6083620.jpg",221
"45560-1",4211026,2,"Dark Stone Grey","Technic: Functional Elements",32005,"Track Rod 6M,","http://cache.lego.com/media/bricks/5/1/4211026.jpg",24
"45560-1",4610374,2,"Dark Stone Grey","Technic: Functional Elements",92906,"Cardan Cup With Cross Axle 2M","http://cache.lego.com/media/bricks/5/1/4610374.jpg",11
"45560-1",4629920,2,"Dark Stone Grey","Technic: Functional Elements",32005,"Track Rod 6M,","http://cache.lego.com/media/bricks/5/1/4629920.jpg",15
"45560-1",4237267,2,"Dark Stone Grey","Technic: Functional Elements, Gear Wheels And Racks",6542,"Gear Wheel Z16-Ø4.9","http://cache.lego.com/media/bricks/5/1/4237267.jpg",38
"45560-1",4514558,3,"Dark Stone Grey","Technic: Functional Elements, Gear Wheels And Racks",3648,"Gear Wheel Z24","http://cache.lego.com/media/bricks/5/1/4514558.jpg",90
"45560-1",4525184,1,"Dark Stone Grey","Technic: Functional Elements, Gear Wheels And Racks",62821,"Differentiale 3M Z 28","http://cache.lego.com/media/bricks/5/1/4525184.jpg",22
"45560-1",6012451,2,"Dark Stone Grey","Technic: Functional Elements, Gear Wheels And Racks",10928,"Gear Wheel T=8, M=1","http://cache.lego.com/media/bricks/5/1/6012451.jpg",100
"45560-1",4210759,2,"Dark Stone Grey","Technic: Half Beams",6575,"Comb Wheel","http://cache.lego.com/media/bricks/5/1/4210759.jpg",33
"45560-1",4610378,2,"Dark Stone Grey","Technic: Transportation Means, Vehicles",92909,"3 Snap Gearblok","http://cache.lego.com/media/bricks/5/1/4610378.jpg",11
"45560-1",4634091,2,"Medium Stone Grey","Constraction: Tyres And Rims For/To Snap Ø4,85 W. Cross",56908,"Rim Wide 43,2X26 W 6 Hol.Ø 4.8","http://cache.lego.com/media/bricks/5/1/4634091.jpg",18
"45560-1",6045310,4,"Medium Stone Grey","Constraction: Tyres And Rims For/To Snap Ø4,85 W. Cross",15038,"Rim Ø 56 X 34","http://cache.lego.com/media/bricks/5/1/6045310.jpg",3
"45560-1",4297210,3,"Medium Stone Grey","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",56145,"Rim Wide W.Cross 30/20","http://cache.lego.com/media/bricks/5/1/4297210.jpg",73
"45560-1",4490127,5,"Medium Stone Grey","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",55982,"Rim Wide 18/14 W. Cross Ø4.8","http://cache.lego.com/media/bricks/5/1/4490127.jpg",53
"45560-1",6044729,1,"Medium Stone Grey","System: Tyres And Rims For/To Snap Ø4,85 W. Cross",13971,"Rim Narrow Ø18X7 W Hole Ø4.8","http://cache.lego.com/media/bricks/5/1/6044729.jpg",56
"45560-1",4156151,6,"Medium Stone Grey","Technic: Beams",32525,"Technic 11M Beam","http://cache.lego.com/media/bricks/5/1/4156151.jpg",44
"45560-1",4211610,8,"Medium Stone Grey","Technic: Beams",32140,"Technic Ang. Beam 4X2 90 Deg","http://cache.lego.com/media/bricks/5/1/4211610.jpg",80
"45560-1",4211651,5,"Medium Stone Grey","Technic: Beams",32316,"Technic 5M Beam","http://cache.lego.com/media/bricks/5/1/4211651.jpg",79
"45560-1",4211655,10,"Medium Stone Grey","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4211655.jpg",85
"45560-1",4211713,6,"Medium Stone Grey","Technic: Beams",32526,"Technic Ang. Beam 3X5 90 Deg.","http://cache.lego.com/media/bricks/5/1/4211713.jpg",58
"45560-1",4211862,3,"Medium Stone Grey","Technic: Beams",43857,"Technic 2M Beam","http://cache.lego.com/media/bricks/5/1/4211862.jpg",44
"45560-1",4211866,7,"Medium Stone Grey","Technic: Beams",40490,"Technic 9M Beam","http://cache.lego.com/media/bricks/5/1/4211866.jpg",51
"45560-1",4234240,4,"Medium Stone Grey","Technic: Beams",32009,"Double Angular Beam 3X7 45°","http://cache.lego.com/media/bricks/5/1/4234240.jpg",28
"45560-1",4495930,16,"Medium Stone Grey","Technic: Beams",32524,"Technic 7M Beam","http://cache.lego.com/media/bricks/5/1/4495930.jpg",75
"45560-1",4611705,6,"Medium Stone Grey","Technic: Beams",64290,"Technic 11M Beam","http://cache.lego.com/media/bricks/5/1/4611705.jpg",33
"45560-1",6102449,7,"Medium Stone Grey","Technic: Beams",64289,"Technic 9M Beam","http://cache.lego.com/media/bricks/5/1/6102449.jpg",24
"45560-1",4211714,4,"Medium Stone Grey","Technic: Beams, Special",32557,"Technic Crossblock 2X3","http://cache.lego.com/media/bricks/5/1/4211714.jpg",29
"45560-1",4211775,4,"Medium Stone Grey","Technic: Beams, Special",6536,"Cross Block 90°","http://cache.lego.com/media/bricks/5/1/4211775.jpg",119
"45560-1",4225033,10,"Medium Stone Grey","Technic: Beams, Special",48989,"Beam 3 M. W/4 Snaps","http://cache.lego.com/media/bricks/5/1/4225033.jpg",157
"45560-1",4296059,4,"Medium Stone Grey","Technic: Beams, Special",55615,"Angular Beam 90Degr. W.4 Snaps","http://cache.lego.com/media/bricks/5/1/4296059.jpg",45
"45560-1",4538007,2,"Medium Stone Grey","Technic: Beams, Special",63869,"Cross Block 3X2","http://cache.lego.com/media/bricks/5/1/4538007.jpg",56
"45560-1",4539880,9,"Medium Stone Grey","Technic: Beams, Special",64179,"Beam Frame 5X7 Ø 4.85","http://cache.lego.com/media/bricks/5/1/4539880.jpg",38
"45560-1",4540797,6,"Medium Stone Grey","Technic: Beams, Special",64178,"Beam R. Frame 5X11 Ø4.85","http://cache.lego.com/media/bricks/5/1/4540797.jpg",29
"45560-1",4560175,2,"Medium Stone Grey","Technic: Beams, Special",87082,"Double Bush 3M Ø4.9","http://cache.lego.com/media/bricks/5/1/4560175.jpg",69
"45560-1",4610379,1,"Medium Stone Grey","Technic: Beams, Special",92910,"Power Joint Ballpart","http://cache.lego.com/media/bricks/5/1/4610379.jpg",6
"45560-1",4652234,3,"Medium Stone Grey","Technic: Beams, Special",98989,"Krydsblok 2X4","http://cache.lego.com/media/bricks/5/1/4652234.jpg",13
"45560-1",4211375,2,"Medium Stone Grey","Technic: Connectors",2736,"Ball W. Cross Axle","http://cache.lego.com/media/bricks/5/1/4211375.jpg",162
"45560-1",4211622,45,"Medium Stone Grey","Technic: Connectors",6590,"Bush For Cross Axle","http://cache.lego.com/media/bricks/5/1/4211622.jpg",470
"45560-1",4211639,8,"Medium Stone Grey","Technic: Connectors",32073,"Cross Axle 5M","http://cache.lego.com/media/bricks/5/1/4211639.jpg",445
"45560-1",4211758,7,"Medium Stone Grey","Technic: Connectors",42610,"Hub Ø11,2 X 7,84","http://cache.lego.com/media/bricks/5/1/4211758.jpg",185
"45560-1",4211805,2,"Medium Stone Grey","Technic: Connectors",44294,"Cross Axle 7M","http://cache.lego.com/media/bricks/5/1/4211805.jpg",294
"45560-1",4211815,12,"Medium Stone Grey","Technic: Connectors",4519,"Cross Axle 3M","http://cache.lego.com/media/bricks/5/1/4211815.jpg",748
"45560-1",4525904,2,"Medium Stone Grey","Technic: Connectors",61903,"Propeller Shaft","http://cache.lego.com/media/bricks/5/1/4525904.jpg",40
"45560-1",4526985,2,"Medium Stone Grey","Technic: Connectors",62462,"Tube W/Double Ø4.85","http://cache.lego.com/media/bricks/5/1/4526985.jpg",128
"45560-1",4535768,5,"Medium Stone Grey","Technic: Connectors",60485,"Cross Axle 9M","http://cache.lego.com/media/bricks/5/1/4535768.jpg",107
"45560-1",4268659,2,"Medium Stone Grey","Technic: Functional Elements",32494,"Lt Cardan Ball","http://cache.lego.com/media/bricks/5/1/4268659.jpg",9
"45560-1",6122217,2,"Medium Stone Grey","Technic: Functional Elements",19991,"Lt Cardan Ball","http://cache.lego.com/media/bricks/5/1/6122217.jpg",8
"45560-1",4211510,1,"Medium Stone Grey","Technic: Functional Elements, Gear Wheels And Racks",4716,"Worm","http://cache.lego.com/media/bricks/5/1/4211510.jpg",80
"45560-1",4285634,2,"Medium Stone Grey","Technic: Functional Elements, Gear Wheels And Racks",3649,"Gear Wheel 40T","http://cache.lego.com/media/bricks/5/1/4285634.jpg",51
"45560-1",4558690,2,"Medium Stone Grey","Technic: Functional Elements, Gear Wheels And Racks",87407,"Cone Wheel Z20 Ø4.85","http://cache.lego.com/media/bricks/5/1/4558690.jpg",23
"45560-1",4211566,10,"Medium Stone Grey","Technic: Half Beams",6632,"Technic Lever 3M","http://cache.lego.com/media/bricks/5/1/4211566.jpg",85
"45560-1",4211741,1,"Medium Stone Grey","Technic: Half Beams",41677,"Technic Lever 2M","http://cache.lego.com/media/bricks/5/1/4211741.jpg",80
"45560-1",6009019,5,"Medium Stone Grey","Technic: Half Beams",99773,"Triangel","http://cache.lego.com/media/bricks/5/1/6009019.jpg",12
"45560-1",4610377,2,"Medium Stone Grey","Technic: Transportation Means, Vehicles",92908,"Gear Block 3½ 6½X3","http://cache.lego.com/media/bricks/5/1/4610377.jpg",6
"45560-1",6031821,16,"Sand Yellow","Technic: Connectors",13670,"Crossaxle 3M With Knob","http://cache.lego.com/media/bricks/5/1/6031821.jpg",228
"45560-1",6044636,2,"Silver Metallic","Technic: Tubes",14925,"Flex Hose 19M W/3. 18 Stick","http://cache.lego.com/media/bricks/5/1/6044636.jpg",10
"45560-1",6027626,2,"Transparent Blue","Constraction: Figure, Weapons",98578,"Half Spike Ball","http://cache.lego.com/media/bricks/5/1/6027626.jpg",2
"45560-1",611649,2,"Transparent Fluorescent Green","System: Bricks, Special Circles And Angles",6116,"Brick 2X2 Round Ii","http://cache.lego.com/media/bricks/5/1/611649.jpg",55
"45560-1",4178398,2,"Transparent Light Blue","System: Bricks, Special Circles And Angles",6116,"Brick 2X2 Round Ii","http://cache.lego.com/media/bricks/5/1/4178398.jpg",66
"45560-1",4654432,2,"Transparent Light Blue","Technic: Beams, Special",98585,"Weapon Barrel","http://cache.lego.com/media/bricks/5/1/4654432.jpg",16
"45560-1",4631648,4,"Transparent Light Blue","Technic: Tubes",43675,"Corrugated Pipe 152Mm","http://cache.lego.com/media/bricks/5/1/4631648.jpg",3
"45560-1",4544720,4,"Transparent Red","System: Bricks, Special Circles And Angles",64288,"Nose Cone Small 1X1 - Tr","http://cache.lego.com/media/bricks/5/1/4544720.jpg",105
"45560-1",4646864,6,"Transparent Red","System: Plates, Special Circles And Angles",98138,"Flat Tile 1X1, Round","http://cache.lego.com/media/bricks/5/1/4646864.jpg",100
"45560-1",70902,2,"White","System: Rubbers And Strings",70902,"V-Belt Ø15, White","http://cache.lego.com/media/bricks/5/1/70902.jpg",126
"45560-1",4544140,2,"White","System: Rubbers And Strings",85543,"V-Belt Ø15, White","http://cache.lego.com/media/bricks/5/1/4544140.jpg",62
"45560-1",4208160,1,"White","Technic: Beams",32523,"Technic 3M Beam","http://cache.lego.com/media/bricks/5/1/4208160.jpg",47
"45560-1",4495412,2,"White","Technic: Beams",32009,"Double Angular Beam 3X7 45°","http://cache.lego.com/media/bricks/5/1/4495412.jpg",17
"45560-1",4542578,13,"White","Technic: Beams",64871,"Technic 15M Beam","http://cache.lego.com/media/bricks/5/1/4542578.jpg",19
"45560-1",4173941,1,"White","Technic: Decoration Elements",41669,"Bion. Eye","http://cache.lego.com/media/bricks/5/1/4173941.jpg",23




